App,Category,Rating,Reviews,Size_MB,Installs,Type,Price_$,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Last_Updated_Year,Primary_Genre
Barcelona Live 2018—Goals & News for Barca FC Fans,SPORTS,4.6,342,38.0,10000,Free,0.0,Everyone,Sports,2018-08-06,2.22.0,4.2,2018,Sports
Barcelona News - Sportfusion,SPORTS,4.4,382,20.0,10000,Free,0.0,Everyone,Sports,2018-03-06,3.953,4.1,2018,Sports
Barcelona Wallpaper HD,PERSONALIZATION,4.5,93,5.7,10000,Free,0.0,Everyone,Personalization,2018-02-28,1.10,4.1,2018,Personalization
Barclays US for Android,FINANCE,4.1,6998,24.0,1000000,Free,0.0,Everyone,Finance,2018-08-01,6.29.37589,5.0,2018,Finance
Barcode Scanner,LIBRARIES_AND_DEMO,4.2,3945,9.4,500000,Free,0.0,Everyone,Libraries & Demo,2018-01-09,4.2.2,3.2,2018,Libraries & Demo
Barisal University App-BU Face,FAMILY,5.0,100,10.0,1000,Free,0.0,Everyone,Education,2018-05-06,3.1.1,4.0.3,2018,Education
Barista Coffee Dictionary A-Z,LIFESTYLE,4.3,127,5.5,10000,Free,0.0,Everyone,Lifestyle,2016-06-03,3.0.0,4.1,2016,Lifestyle
Baritastic - Bariatric Tracker,MEDICAL,4.7,4318,12.0,100000,Free,0.0,Everyone,Medical,2018-07-26,1.3.185,4.1,2018,Medical
Barry EC,TOOLS,4.1,14,3.8,1000,Free,0.0,Everyone,Tools,2017-12-18,1.278.0037,2.3.3,2017,Tools
Baseball Boy!,GAME,3.4,41339,63.099999999999994,2498500,Free,0.0,Everyone,Arcade,2018-07-27,1.7.2,4.1,2018,Arcade
Basic Strategy Training BJ 21,GAME,4.4,0,23.0,500,Free,0.0,Teen,Casino,2016-03-07,1.1,2.3,2016,Casino
Basics of Orthopaedics,MEDICAL,5.0,1,5.6,10,Free,0.0,Everyone,Medical,2018-07-27,1.0,4.1,2018,Medical
Basket Manager 2016 Free,SPORTS,4.3,1879,4.4,100000,Free,0.0,Everyone,Sports,2017-02-09,2.9,4.1,2017,Sports
Basket Manager 2016 Pro,SPORTS,4.5,117,4.4,1000,Paid,0.99,Everyone,Sports,2017-02-09,2.9,4.1,2017,Sports
Basket Manager 2017 Free,SPORTS,4.5,2710,4.8,100000,Free,0.0,Everyone,Sports,2017-11-27,4.0,4.1,2017,Sports
Basket Manager 2017 Pro,SPORTS,4.7,163,4.6,1000,Paid,0.99,Everyone,Sports,2017-10-06,3.9,4.1,2017,Sports
Basket Manager 2018 Free,SPORTS,3.4,1520,6.3,50000,Free,0.0,Everyone,Sports,2018-04-17,3.7,4.4,2018,Sports
Basket Manager 2018 Pro,SPORTS,3.7,84,6.3,1000,Paid,2.99,Everyone,Sports,2018-04-17,3.7,4.4,2018,Sports
Basketball Dynasty Manager 16,SPORTS,4.4,426,21.0,5000,Paid,1.99,Everyone,Sports,2016-06-01,2.2.3,4.0,2016,Sports
Basketball FRVR - Shoot the Hoop and Slam Dunk!,FAMILY,4.5,4076,20.0,100000,Free,0.0,Everyone,Sports;Action & Adventure,2018-08-01,1.3.3,4.1,2018,Sports
Basketball Stars,SPORTS,4.4,41339,45.0,2498500,Free,0.0,Everyone,Sports,2018-07-14,1.16.2,4.0.3,2018,Sports
Baskin-Robbins,FOOD_AND_DRINK,3.8,1103,6.6,100000,Free,0.0,Everyone,Food & Drink,2018-06-08,1.4.02,4.1,2018,Food & Drink
BatControl Pro,TOOLS,4.9,83,3.1,500,Paid,3.99,Everyone,Tools,2018-06-01,2.0.0,5.0,2018,Tools
Bathroom Decorating Ideas,HOUSE_AND_HOME,4.1,2427,5.3,500000,Free,0.0,Everyone,House & Home,2015-03-12,1.4,3.0,2015,House & Home
Batman: Gotham’s Most Wanted!,FAMILY,4.0,16190,63.099999999999994,1000000,Free,0.0,Everyone,Action;Action & Adventure,2018-04-24,2.1.1,4.0,2018,Action
Batmobile™ R/C Controller,FAMILY,3.7,452,30.0,100000,Free,0.0,Everyone,Entertainment,2018-02-02,1.0.8,4.4,2018,Entertainment
Battery Calibration,TOOLS,4.4,41339,11.0,2498500,Free,0.0,Everyone,Tools,2018-07-27,3.0.5,4.4,2018,Tools
Battery Doctor-Battery Life Saver & Battery Cooler,TOOLS,4.5,41339,17.0,2498500,Free,0.0,Everyone,Tools,2018-06-01,6.24,4.0,2018,Tools
Battery Notifier BT Free,TOOLS,4.5,21979,0.96,1000000,Free,0.0,Everyone,Tools,2017-06-07,2.1.15,1.6,2017,Tools
Battery Notifier Pro BT,TOOLS,4.7,1363,1.6,10000,Paid,2.59,Everyone,Tools,2017-06-07,2.5.18,1.6,2017,Tools
Battle Result Predictor for CR,TOOLS,4.2,7063,17.0,1000000,Free,0.0,Everyone,Tools,2017-02-04,1.3.0,4.1,2017,Tools
Battle of Zombies: Clans War,FAMILY,4.1,41339,58.0,2498500,Free,0.0,Teen,Strategy,2017-11-15,1.0.175,2.3.3,2017,Strategy
Battlefield™ Companion,GAME,4.0,41339,62.0,2498500,Free,0.0,Everyone 10+,Action,2016-11-01,3.0.4,4.0,2016,Action
Battleheart Legacy,FAMILY,4.6,7420,7.4,50000,Paid,4.99,Teen,Role Playing,2014-11-10,1.2.5,4.1,2014,Role Playing
Battlelands Royale,GAME,4.4,41339,61.0,1000000,Free,0.0,Everyone 10+,Action,2018-07-16,0.5.8,4.1,2018,Action
BayPort CU Mobile Banking,FINANCE,4.7,2374,16.0,10000,Free,0.0,Everyone,Finance,2018-07-31,5.10.1.0,5.0,2018,Finance
Bayview Hill AH,MEDICAL,4.3,0,29.0,50,Free,0.0,Everyone,Medical,2018-06-06,300000.1.08,4.0.3,2018,Medical
Bazar.af,SHOPPING,4.7,13,1.3,500,Free,0.0,Everyone,Shopping,2017-07-07,6.5.0,4.0,2017,Shopping
Bc Vod,VIDEO_PLAYERS,4.2,1,62.0,100,Free,0.0,Everyone,Video Players & Editors,2018-04-17,1.2,4.2,2018,Video Players & Editors
Be A Legend: Soccer,SPORTS,3.8,41339,21.0,1000000,Free,0.0,Everyone,Sports,2015-08-24,2.8.0.17,3.0,2015,Sports
Be Fabulous PHOTO BOOTH,PHOTOGRAPHY,4.1,560,1.7,10000,Free,0.0,Everyone,Photography,2017-02-01,1.07,4.0,2017,Photography
Be Like Bill - Maker,FAMILY,4.3,18,1.7,1000,Free,0.0,Everyone,Entertainment,2016-01-27,1.2,3.2,2016,Entertainment
Be Like Bro - Compilation,FAMILY,4.4,146,3.9,10000,Free,0.0,Teen,Entertainment,2018-03-30,2.4,4.1,2018,Entertainment
Be My Eyes - Helping the blind,LIFESTYLE,4.9,8418,21.0,500000,Free,0.0,Everyone,Lifestyle,2018-07-11,1.2.9,4.4,2018,Lifestyle
Be My Love Animated Keyboard,PERSONALIZATION,4.6,838,11.0,50000,Free,0.0,Teen,Personalization,2018-03-30,1.70,4.1,2018,Personalization
Be My Princess,FAMILY,4.2,3103,8.8,100000,Free,0.0,Teen,Entertainment,2017-09-19,6.5,2.2,2017,Entertainment
Be My Princess 2,FAMILY,4.3,2806,27.0,100000,Free,0.0,Teen,Entertainment,2018-03-20,3.6,2.3,2018,Entertainment
Be My Princess: PARTY,FAMILY,4.4,9443,21.0,100000,Free,0.0,Teen,Simulation,2016-12-12,1.8.0,4.0.3,2016,Simulation
Be Stronger,HEALTH_AND_FITNESS,4.8,787,53.0,1000,Paid,1.99,Everyone,Health & Fitness,2018-07-31,1.4.7,4.0.3,2018,Health & Fitness
Be U Salons Hair-Beauty Deals In Delhi & Bangalore,LIFESTYLE,4.0,889,16.0,100000,Free,0.0,Everyone,Lifestyle,2018-08-02,1.1.4.38,4.2,2018,Lifestyle
Be like Bill Generator,FAMILY,4.2,67,6.5,5000,Free,0.0,Teen,Entertainment,2016-01-29,1.08,4.0.3,2016,Entertainment
Be like Me - Hay Nhu Toi,PERSONALIZATION,4.3,44,3.5,1000,Free,0.0,Teen,Personalization,2016-05-26,1.3,4.0,2016,Personalization
Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,4.3,0,5.0,1,Paid,0.99,Everyone,Medical,2018-07-24,1.0,4.0.3,2018,Medical
Be the Manager 2016 (football),SPORTS,4.2,4330,6.1,100000,Free,0.0,Everyone,Sports,2017-10-19,3.0,4.0,2017,Sports
Be the Manager 2018 - Football Strategy,SPORTS,4.3,7557,7.4,100000,Free,0.0,Everyone,Sports,2018-03-12,2.2.1,4.2,2018,Sports
Be you GO Launcher Theme,PERSONALIZATION,4.3,1580,3.6,100000,Free,0.0,Everyone,Personalization,2014-11-12,1.0,2.3,2014,Personalization
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0,100000,Free,0.0,Mature 17+,Dating,2017-02-03,1.6.5,4.2,2017,Dating
Beach Buggy Blitz,GAME,4.2,41339,47.0,2498500,Free,0.0,Everyone,Racing,2018-06-05,1.5,4.0.3,2018,Racing
Beach Head Shooting Assault,GAME,3.8,555,44.0,100000,Free,0.0,Teen,Action,2018-03-02,1.0,4.0,2018,Action
Beach Shoot Em Up: Head Hunter,GAME,4.4,1218,15.0,500000,Free,0.0,Everyone 10+,Action,2018-03-06,1.0.9,2.3,2018,Action
Beach Volleyball 3D,SPORTS,4.2,41339,14.0,2498500,Free,0.0,Everyone,Sports,2018-01-10,1.0.3,2.1,2018,Sports
"Beacon Baptist Jupiter, FL",LIFESTYLE,5.0,14,2.6,100,Free,0.0,Everyone,Lifestyle,2017-10-13,2.4,4.0.3,2017,Lifestyle
Beard Live Camera Photo Editor,BEAUTY,4.7,900,30.0,5000,Free,0.0,Everyone,Beauty,2018-03-25,1.1,4.0.3,2018,Beauty
Beast of Lycan Isle CE,FAMILY,4.1,2683,20.0,50000,Free,0.0,Everyone 10+,Casual,2014-01-23,1.0,2.3,2014,Casual
Beautiful Design Birthday Cake,LIFESTYLE,4.3,665,3.0,500000,Free,0.0,Everyone,Lifestyle,2018-08-04,2.0,2.3,2018,Lifestyle
Beautiful Widgets Free,PERSONALIZATION,3.9,25037,14.0,1000000,Free,0.0,Everyone,Personalization,2016-10-20,5.7.6,2.3,2016,Personalization
Beautiful Widgets Pro,PERSONALIZATION,4.2,41339,14.0,1000000,Paid,2.49,Everyone,Personalization,2016-08-24,5.7.8,2.3,2016,Personalization
Beauty Idol: Fashion Queen,GAME,4.3,41339,54.0,1000000,Free,0.0,Everyone,Arcade,2017-10-27,2.1.0,4.0.3,2017,Arcade
Beauty Makeup – Photo Makeover,PHOTOGRAPHY,4.3,21730,19.0,1000000,Free,0.0,Everyone,Photography,2018-05-23,1.6.0,4.0,2018,Photography
Beauty Rental Shop,FAMILY,4.6,11480,63.099999999999994,100000,Free,0.0,Everyone,Simulation,2018-05-25,1.0.4,4.4,2018,Simulation
Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000,Free,0.0,Everyone,Beauty,2018-02-28,1.6,4.1,2018,Beauty
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty,2017-10-18,1.0.0,4.0.3,2017,Beauty
Beauty and the Beast,FAMILY,4.4,41339,31.0,1000000,Free,0.0,Everyone,Puzzle;Creativity,2018-08-07,1.7.6,4.2,2018,Puzzle
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,41339,53.0,2498500,Free,0.0,Everyone,Photography,2018-07-31,6.9.031,4.1,2018,Photography
Beck & Bo: Toddler First Words,FAMILY,4.3,41,7.9,1000,Paid,2.99,Everyone,Education;Pretend Play,2018-05-31,2.4.2,4.0.3,2018,Education
Become a Job - Find a job or advertise,BUSINESS,4.1,6903,14.0,1000000,Free,0.0,Everyone,Business,2018-07-10,2.3.6,4.1,2018,Business
Bed Time Fan - White Noise Sleep Sounds,LIFESTYLE,4.5,10097,7.5,500000,Free,0.0,Everyone,Lifestyle,2018-04-26,1.2,4.0,2018,Lifestyle
Bedouin Rivals,FAMILY,4.2,41339,20.0,1000000,Free,0.0,Everyone 10+,Strategy,2018-07-26,4.0.4,4.1,2018,Strategy
Bedroom Decorating Ideas,HOUSE_AND_HOME,4.0,2382,5.9,500000,Free,0.0,Everyone,House & Home,2015-04-07,1.7,3.0,2015,House & Home
Bee Mobile EG,FINANCE,4.2,883,6.5,100000,Free,0.0,Everyone,Finance,2018-05-05,3.1.9,4.0,2018,Finance
Bee'ah Employee App,COMMUNICATION,4.0,4,5.4,100,Free,0.0,Teen,Communication,2017-12-24,2.26.5.0,5.0,2017,Communication
Bee.Bo,LIFESTYLE,4.2,11,23.0,1000,Free,0.0,Everyone,Lifestyle,2017-04-13,1.2.9,4.1,2017,Lifestyle
Bejeweled Blitz,FAMILY,4.2,41339,63.099999999999994,2498500,Free,0.0,Everyone,Puzzle,2018-08-01,2.6.0.125,4.0.3,2018,Puzzle
Bejeweled Stars: Free Match 3,FAMILY,4.5,41339,20.0,1000000,Free,0.0,Everyone,Puzzle;Brain Games,2018-08-02,2.17.1,4.1,2018,Puzzle
Bell and Wyson Camera BW Pix +,LIFESTYLE,3.25,8,12.0,1000,Free,0.0,Everyone,Lifestyle,2016-11-14,2.0.18.23,2.3,2016,Lifestyle
Belo Horizonte Map offline,TRAVEL_AND_LOCAL,4.3,11,18.0,1000,Free,0.0,Everyone,Travel & Local,2018-07-12,1.73,4.3,2018,Travel & Local
Ben 10: Alien Experience,FAMILY,4.2,41339,45.0,2498500,Free,0.0,Everyone 10+,Action;Action & Adventure,2017-10-24,1.2.1,4.4,2017,Action
Benefit Extras Mobile App,HEALTH_AND_FITNESS,3.25,3,2.4,1000,Free,0.0,Everyone,Health & Fitness,2018-07-18,6.0,5.0,2018,Health & Fitness
Benefits of olive oil with garlic,LIBRARIES_AND_DEMO,4.2,25,2.5,10000,Free,0.0,Everyone,Libraries & Demo,2018-06-23,1.0,4.0.3,2018,Libraries & Demo
Bengali Newspaper - The first L.,NEWS_AND_MAGAZINES,4.0,11908,5.5,1000000,Free,0.0,Everyone,News & Magazines,2018-07-01,8.3,4.1,2018,News & Magazines
Berlin Subway – BVG U-Bahn & S-Bahn map and routes,MAPS_AND_NAVIGATION,4.4,509,17.0,100000,Free,0.0,Everyone,Maps & Navigation,2018-06-06,1.0.7,5.0,2018,Maps & Navigation
Berner Zeitung,NEWS_AND_MAGAZINES,3.4,736,8.5,50000,Free,0.0,Teen,News & Magazines,2018-08-03,7.5.9.1,4.1,2018,News & Magazines
Best Applock - Locker & No Ads,PRODUCTIVITY,4.7,10672,6.9,100000,Free,0.0,Everyone,Productivity,2018-06-23,2.1.1,4.1,2018,Productivity
Best Auto Call Recorder Free,COMMUNICATION,3.7,7,4.3,500,Free,0.0,Everyone,Communication,2017-10-02,2.1,4.1,2017,Communication
Best Blood Type AB: Food Diet & Personality,LIFESTYLE,4.2,3,37.0,1000,Free,0.0,Everyone,Lifestyle,2018-07-11,1.2,4.0.3,2018,Lifestyle
Best Browser BD social networking,COMMUNICATION,4.8,6,21.0,10,Free,0.0,Everyone,Communication,2018-07-04,2.0,4.1,2018,Communication
Best Buy,SHOPPING,4.4,41339,34.0,2498500,Free,0.0,Everyone,Shopping,2018-08-03,11.6.0,4.4,2018,Shopping
Best CG Backgrounds,FAMILY,3.6,8,3.7,500,Free,0.0,Everyone,Entertainment,2018-05-20,8.0,4.0.3,2018,Entertainment
Best CG Photography,FAMILY,4.3,1,2.5,500,Free,0.0,Unrated,Entertainment,2015-06-24,5.2,3.0,2015,Entertainment
Best CG views,FAMILY,4.2,4,2.5,100,Free,0.0,Teen,Entertainment,2015-06-24,5.1,3.0,2015,Entertainment
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1,2018,Auto & Vehicles
Best DP And Video Status 2018 For Whatsapp,FAMILY,4.2,91,3.8,10000,Free,0.0,Everyone,Entertainment,2018-05-31,9.0,4.1,2018,Entertainment
Best DP and Status,SOCIAL,4.2,93,5.6,10000,Free,0.0,Teen,Social,2017-11-29,7.6.5,4.1,2017,Social
Best DP and Status (Daily Updates Photos),FAMILY,4.1,3003,3.2,1000000,Free,0.0,Everyone,Entertainment,2018-05-07,1.8,4.0,2018,Entertainment
Best DP and Status - All Type DP & Status,FAMILY,4.3,1,5.7,100,Free,0.0,Everyone,Entertainment,2018-05-30,1.0,4.0.3,2018,Entertainment
Best Design CD Ideas,LIFESTYLE,4.2,0,13.0,10,Free,0.0,Everyone,Lifestyle,2018-04-18,1.0.0,4.0.3,2018,Lifestyle
Best Friends Dress Up & Makeup,FAMILY,3.7,7664,44.0,500000,Free,0.0,Everyone,Casual;Pretend Play,2015-09-09,1.0.3,4.0.3,2015,Casual
Best Hairstyles step by step,BEAUTY,4.5,41339,9.2,2498500,Free,0.0,Everyone,Beauty,2018-07-19,1.25,4.0,2018,Beauty
Best New Ringtones 2018 Free 🔥 For Android™,LIBRARIES_AND_DEMO,4.6,3014,21.0,100000,Free,0.0,Everyone,Libraries & Demo,2018-06-27,1.1,5.0,2018,Libraries & Demo
Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,4.6,41339,23.0,1000000,Free,0.0,Everyone,Health & Fitness,2018-08-01,7.3.4,5.0,2018,Health & Fitness
Best Park in the Universe,GAME,4.3,3904,5.5,10000,Paid,2.99,Everyone 10+,Action,2014-09-10,1.2.1,4.0,2014,Action
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8,10000,Free,0.0,Teen,Comics,2018-06-16,1.01,4.0.3,2018,Comics
Best Wallpapers QHD,PERSONALIZATION,4.4,41339,5.1,2498500,Free,0.0,Teen,Personalization,2018-03-17,2.85,4.0.3,2018,Personalization
Best Western To Go,TRAVEL_AND_LOCAL,3.25,2719,17.0,100000,Free,0.0,Teen,Travel & Local,2018-08-02,5.14.1,4.2,2018,Travel & Local
Best Western e-Concierge Hotel,TRAVEL_AND_LOCAL,4.0,41,23.0,10000,Free,0.0,Everyone,Travel & Local,2018-06-04,2.8.1,5.0,2018,Travel & Local
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.0.6,4.0.3,2018,Beauty
Bestie - Camera360 Selfie,PHOTOGRAPHY,4.5,41339,23.0,2498500,Free,0.0,Everyone,Photography,2018-08-02,4.0.3.5,4.1,2018,Photography
Bet Master Pro Soccer Predictions,SPORTS,4.4,328,11.0,10000,Free,0.0,Everyone,Sports,2018-07-31,2.0.5,4.4,2018,Sports
BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,4.2,14709,15.0,2498500,Free,0.0,Everyone,Health & Fitness,2018-07-26,2.8.2,5.0,2018,Health & Fitness
Betterment,FINANCE,4.4,3780,11.0,100000,Free,0.0,Everyone,Finance,2018-08-03,6.0.6,5.0,2018,Finance
Betting Tips / Sports Tips by CG Tipster,SPORTS,4.1,315,7.7,10000,Free,0.0,Everyone,Sports,2018-07-18,6.95,4.4,2018,Sports
Betul Ke Bohong Eh?,GAME,4.2,601,6.4,100000,Free,0.0,Everyone,Trivia,2015-04-03,1.0.1,2.3,2015,Trivia
Bf Light,BUSINESS,4.3,6,11.0,1000,Free,0.0,Everyone,Business,2017-02-09,1.0,4.1,2017,Business
Bg Radios - Bulgarian radio stations online,FAMILY,4.3,8,13.0,1000,Free,0.0,Everyone,Entertainment,2018-07-13,1.3.2,4.1,2018,Entertainment
Bg TV Online,FAMILY,3.25,50,2.8,10000,Free,0.0,Everyone,Entertainment,2017-10-21,1.2,4.1,2017,Entertainment
Bg+ Call Blocker,TOOLS,4.3,80,1.7,10000,Free,0.0,Everyone,Tools,2018-03-20,1.2,4.0,2018,Tools
Bh Public School,FAMILY,5.0,2,8.7,10,Free,0.0,Everyone,Education,2018-03-21,1.2,4.0.3,2018,Education
Bhuiyan Land Records Chhattisgarh (CG),NEWS_AND_MAGAZINES,4.5,12,2.9,5000,Free,0.0,Everyone,News & Magazines,2018-02-03,1.1,4.1,2018,News & Magazines
Bhunaksha CG,TOOLS,4.1,67,4.1,10000,Free,0.0,Everyone,Tools,2018-05-07,1.0.0,4.1,2018,Tools
Bi en Línea,FINANCE,4.0,5055,17.0,100000,Free,0.0,Everyone,Finance,2018-03-05,4.4.1,4.4,2018,Finance
Bi-Tank Ads Free,GAME,4.4,0,40.0,1,Paid,0.99,Everyone,Arcade,2017-07-31,1.1,4.1,2017,Arcade
BibApp TU BS,FAMILY,4.3,16,3.5,1000,Free,0.0,Everyone,Education,2014-12-15,2.0.0,4.0,2014,Education
Bible Quizzer - The App for Bible Quizzers,FAMILY,4.3,0,33.0,100,Free,0.0,Everyone,Education,2018-08-02,30.0,4.2,2018,Education
Bible du Semeur-BDS (French),BOOKS_AND_REFERENCE,4.5,313,6.9,50000,Free,0.0,Everyone,Books & Reference,2018-08-04,0.7,1.0,2018,Books & Reference
Bible with EGW Comments,BOOKS_AND_REFERENCE,4.7,3776,12.0,100000,Free,0.0,Everyone,Books & Reference,2018-02-07,2.12.0,4.1,2018,Books & Reference
BibleRead En Cy Zh Yue,BOOKS_AND_REFERENCE,4.5,0,12.0,5,Free,0.0,Everyone,Books & Reference,2018-05-17,1.0,4.0,2018,Books & Reference
Big Hunter,GAME,4.3,41339,63.099999999999994,2498500,Free,0.0,Everyone 10+,Action,2018-05-31,2.8.6,4.0,2018,Action
Big Q Car Service,MAPS_AND_NAVIGATION,4.4,75,26.0,5000,Free,0.0,Everyone,Maps & Navigation,2017-05-15,3.002,4.0.3,2017,Maps & Navigation
"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,4.3,31986,63.099999999999994,1000000,Free,0.0,Teen,Food & Drink,2017-11-23,5.7.23,5.0,2017,Food & Drink
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44.0,100000,Free,0.0,Mature 17+,Dating,2018-08-02,3.4.1.1,4.1,2018,Dating
Bihar Land Records - RoR and EB Quick Pay,TOOLS,4.0,8,2.2,1000,Free,0.0,Everyone,Tools,2018-08-07,1.0.1,5.0,2018,Tools
Bike 3D Configurator,SPORTS,4.3,34062,63.099999999999994,1000000,Free,0.0,Everyone,Sports,2018-04-03,1.6.7,4.4,2018,Sports
Bike Computer - GPS Cycling Tracker,HEALTH_AND_FITNESS,4.4,12029,4.3,1000000,Free,0.0,Everyone,Health & Fitness,2018-08-04,2.6,4.2,2018,Health & Fitness
Bike Race - Bike Blast Rush,GAME,4.4,41339,48.0,2498500,Free,0.0,Everyone,Action,2018-07-19,3.1,4.0,2018,Action
Bike Race Free - Top Motorcycle Racing Games,GAME,4.5,41339,40.0,2498500,Free,0.0,Everyone,Racing,2018-07-31,7.7.9,4.2,2018,Racing
Bike Racing 3D,GAME,4.2,41339,14.0,2498500,Free,0.0,Everyone,Racing,2018-01-17,2.2,2.1,2018,Racing
Bike Rivals,GAME,4.2,41339,48.0,2498500,Free,0.0,Everyone,Racing,2015-07-15,1.5.2,2.3.3,2015,Racing
Bike Unchained,SPORTS,4.3,41339,23.0,2498500,Free,0.0,Everyone,Sports,2018-07-31,1.193,4.0,2018,Sports
Bilingual Dictionary Audio App,BOOKS_AND_REFERENCE,3.25,68,63.099999999999994,5000,Free,0.0,Everyone,Books & Reference,2018-05-02,1.0.0.22,4.1,2018,Books & Reference
Bill Miller Bar-B-Q Store Ops,BUSINESS,4.3,0,2.5,100,Free,0.0,Everyone,Business,2018-06-19,1.3,4.4,2018,Business
Binaural Beats Meditation,LIBRARIES_AND_DEMO,4.3,411,63.099999999999994,50000,Free,0.0,Everyone,Libraries & Demo,2018-06-08,5.0,4.0.3,2018,Libraries & Demo
Bing Ads,BUSINESS,4.1,1828,13.0,100000,Free,0.0,Everyone,Business,2018-07-20,2.13.2,4.1,2018,Business
Bingo Party - Free Bingo Games,GAME,4.7,41339,63.099999999999994,1000000,Free,0.0,Teen,Board,2018-07-13,2.1.1,4.0.3,2018,Board
Bingo by IGG: Top Bingo+Slots!,GAME,4.7,41339,20.0,2498500,Free,0.0,Teen,Casino,2018-05-28,1.5.1,2.3,2018,Casino
BioLife Plasma Services,MEDICAL,3.5,250,23.0,100000,Free,0.0,Everyone,Medical,2018-07-09,1.2.0,4.4,2018,Medical
Bird - Enjoy The Ride,TRAVEL_AND_LOCAL,4.3,2649,25.0,500000,Free,0.0,Everyone,Travel & Local,2018-08-03,4.1.1,4.4,2018,Travel & Local
Bird Sounds & Bird Ringtones for Free 2018,LIBRARIES_AND_DEMO,4.6,130,12.0,10000,Free,0.0,Everyone,Libraries & Demo,2018-02-23,1.0,4.0.3,2018,Libraries & Demo
Birdays - Birthday reminder,EVENTS,4.5,2153,5.9,50000,Free,0.0,Everyone,Events,2017-12-14,1.5.0,4.1,2017,Events
Birds Sounds Ringtones & Wallpapers,PERSONALIZATION,4.6,5073,23.0,1000000,Free,0.0,Everyone 10+,Personalization,2017-09-25,1.1,4.0,2017,Personalization
Birmingham City FC,SPORTS,4.5,191,28.0,10000,Free,0.0,Everyone,Sports,2018-08-01,2018.8.1,4.4,2018,Sports
Birthdays & Other Events,EVENTS,4.3,456,2.8,50000,Free,0.0,Everyone,Events,2018-06-21,1.75,2.3.3,2018,Events
BitTorrent®- Torrent Downloads,VIDEO_PLAYERS,4.5,41339,8.5,2498500,Free,0.0,Everyone,Video Players & Editors,2018-07-26,5.2.2,4.1,2018,Video Players & Editors
Bita and the Animals - Pelos Ares,FAMILY,4.4,1160,37.0,100000,Free,0.0,Everyone,Education;Music & Video,2013-05-22,1.0,2.2,2013,Education
Bitcoin & Cryptocurrency - Bx,FINANCE,4.8,11,3.7,1000,Free,0.0,Everyone,Finance,2017-11-28,0.1.6,4.1,2017,Finance
Bitcoin BX Thailand,FINANCE,3.7,120,31.0,10000,Free,0.0,Everyone,Finance,2017-10-23,4.1,4.0.3,2017,Finance
Bitcoin BX Thailand PRO,FINANCE,3.25,21,21.0,100,Paid,4.99,Everyone,Finance,2017-10-22,5.0,4.0.3,2017,Finance
Bitcoin Bx (Thailand),FINANCE,4.5,101,6.9,10000,Free,0.0,Everyone,Finance,2018-08-04,1.8.4,5.0,2018,Finance
Bitdefender Antivirus Free,TOOLS,4.5,41339,6.3,1000000,Free,0.0,Everyone,Tools,2018-07-20,3.4.406,4.0.3,2018,Tools
Bixby Button Remapper - bxActions,TOOLS,4.3,13064,4.6,1000000,Free,0.0,Everyone,Tools,2018-05-23,4.72,7.0,2018,Tools
Bixby Button Remapper - bxActions Pro / Coffee,TOOLS,3.9,319,0.02,10000,Paid,2.99,Everyone,Tools,2017-04-28,1.00,7.0,2017,Tools
Bk Bee Sales Manager,BUSINESS,4.3,0,2.1,5,Paid,0.99,Everyone,Business,2017-12-16,1.0,4.1,2017,Business
Bk Usha behn,LIFESTYLE,5.0,10,3.0,1000,Free,0.0,Everyone,Lifestyle,2018-01-14,1.0,4.1,2018,Lifestyle
BkEmu - BK-0010/11M emulator,FAMILY,4.6,222,1.4,10000,Free,0.0,Everyone,Entertainment,2016-02-07,0.4.0,2.1,2016,Entertainment
Black & White Camera - Lovely BW,PHOTOGRAPHY,4.2,329,4.8,100000,Free,0.0,Everyone,Photography,2017-11-13,1.1.0,4.4,2017,Photography
Black Classic DW Watch Theme,PERSONALIZATION,4.4,1,2.9,100,Free,0.0,Everyone,Personalization,2018-07-25,1.1.1,4.0,2018,Personalization
Black Commando | Special Ops | FPS Shooting,GAME,4.1,1167,63.099999999999994,100000,Free,0.0,Teen,Action,2018-05-03,1.4,4.1,2018,Action
Black People Meet Singles Date,DATING,3.9,10212,5.0,1000000,Free,0.0,Mature 17+,Dating,2018-07-25,1.9.7,4.4,2018,Dating
